path,size_bytes,sha256,purpose
Chapter_06/skillops-deployment-review-agent/azure.yaml.reference,1194,55fb9573f9f6e5b1f1ce6365dc6943823f362653e40f876fb27282887fdee8db,Deployment Review Hosted Agent azure.yaml reference
Chapter_06/skillops-deployment-review-agent/hosted-agent-record.md,386,e9a5ae0a729bd1595e57c23535b7c85afe83ea15d8301a54f778463c988d4ed2,Exercise 6-3 deployment record
Chapter_06/skillops-deployment-review-agent/README.md,1232,436efcbe3b088e06c0f125df5a64762c8d803f6a06801149dc976060642f3563,Deployment Review Hosted Agent source guide
Chapter_06/skillops-deployment-review-agent/src/skillops-toolbox-agent/.azdignore,55,c6a4a5bd108d3608b7c0bf4f81bcbe951afdecd693357bd6e5bc1cd697c0cc27,Deployment Review Hosted Agent azd ignore
Chapter_06/skillops-deployment-review-agent/src/skillops-toolbox-agent/.dockerignore,63,334b7522551430a9bf905c3e171c0bad9037d0dac5955c8c1c325e01e1c0938f,Deployment Review Hosted Agent Docker ignore
Chapter_06/skillops-deployment-review-agent/src/skillops-toolbox-agent/.env.example,527,9cf6c21c14e4d735b21ec230e923758e1ae14b511c8e5355c323e6ea9958a49c,Deployment Review Hosted Agent environment template
Chapter_06/skillops-deployment-review-agent/src/skillops-toolbox-agent/Dockerfile,215,9dfaccb413586d33a684f0e8eb1d560117ceaf8df62747d692f5617ec070e877,Deployment Review Hosted Agent optional Dockerfile
Chapter_06/skillops-deployment-review-agent/src/skillops-toolbox-agent/main.py,3051,94ff6a77a447504ccb52f525c97b1cead9624a001b7a9206d721aea2e3e28415,Deployment Review Hosted Agent main Python source
Chapter_06/skillops-deployment-review-agent/src/skillops-toolbox-agent/requirements.txt,106,1338b4964f80215fc887b034ed07ecf6c07c09b7c16038910ef10a32d1803ce2,Deployment Review Hosted Agent Python requirements
Chapter_06/skillops-deployment-review-agent/src/skillops-toolbox-agent/toolbox.yaml,153,2d2b7c978f72aa522f1ad896964f6739f67606647f4b4670aa111f2aa2f4309e,Deployment Review Hosted Agent toolbox definition
Chapter_07/.vscode/mcp.json,291,cf0b98277ff05d9b46c5d17bb35ad958b72bb44c8c5fcba866fa6ae15ffe7465,Exercise 7-2 read-only Monitor MCP configuration
Chapter_07/azure-internal-skills/.github/skills/azure-kql-diagnostics/queries/dependencies.kql,428,24edab7a6eb67687bb5cb773fce03057b3182d87a998f524ec3da8c446b67459,Exercise 7-1 installed KQL skill
Chapter_07/azure-internal-skills/.github/skills/azure-kql-diagnostics/queries/exceptions.kql,160,248e5f97ab77ac5bd9c405934afd4b780d412f8fca64534c3eb7481b43b78d31,Exercise 7-1 installed KQL skill
Chapter_07/azure-internal-skills/.github/skills/azure-kql-diagnostics/queries/requests.kql,661,8aa2ec50e1cb2236653b728570ca6f54536a6c1c5f0236a76233e639607bbd5f,Exercise 7-1 installed KQL skill
Chapter_07/azure-internal-skills/.github/skills/azure-kql-diagnostics/queries/traces.kql,289,5af37eae123e6c705836d6bda201281f5beaa435da255b6ab80f20b48555886d,Exercise 7-1 installed KQL skill
Chapter_07/azure-internal-skills/.github/skills/azure-kql-diagnostics/query-test-record.md,257,c866216da79496659056f66c9ebcb3de1032cb47f59eb8814711d53af6c64586,Exercise 7-1 installed KQL skill
Chapter_07/azure-internal-skills/.github/skills/azure-kql-diagnostics/README.md,441,ee906294a66ad341a3da78fe2f25a3ed2acb6c5f6e3fdf620df5d5f6a1998844,Exercise 7-1 installed KQL skill
Chapter_07/azure-internal-skills/.github/skills/azure-kql-diagnostics/SKILL.md,1225,27ee65df9ebd3a5d1e0433339cf0cdc2280d816a9c2321ff042ccd1d6cc1d341,Exercise 7-1 installed KQL skill
